"RowID","OrderID","OrderDate","ShipDate","Year","Month","YearMonth","Region","Province","CustomerSegment","Category","SubCategory","ProductName","Sales","Profit","Quantity","Discount","UnitPrice","ShippingCost","ProfitMargin"
"134","868","2012-06-08","2012-06-09","2012","6","2012-06","Nunavut","Nunavut","Home Office","Office Supplies","Appliances","Holmes HEPA Air Purifier","716.84","134.72","32","0","21.78","5.94","0.1879"
"135","868","2012-06-08","2012-06-10","2012","6","2012-06","Nunavut","Nunavut","Home Office","Technology","Computer Peripherals","DS/HD IBM Formatted Diskettes, 200/Pack - Staples","1474.33","114.46","31","0.04","47.98","3.61","0.0776"
"149","933","2012-08-04","2012-08-04","2012","8","2012-08","Nunavut","Nunavut","Small Business","Office Supplies","Binders and Binder Accessories","Wilson Jones 1"" Hanging DublLock� Ring Binders","80.61","-4.72","15","0.02","5.28","2.99","-0.0586"
"160","995","2011-05-30","2011-05-31","2011","5","2011-05","Nunavut","Nunavut","Home Office","Furniture","Office Furnishings","Ultra Commercial Grade Dual Valve Door Closer","1815.49","782.91","46","0.03","39.89","3.04","0.4312"
"161","998","2009-11-25","2009-11-26","2009","11","2009-11","Nunavut","Nunavut","Small Business","Office Supplies","Envelopes","#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes","248.26","93.8","16","0.07","15.74","1.39","0.3778"
"175","1154","2012-02-14","2012-02-16","2012","2","2012-02","Nunavut","Nunavut","Home Office","Furniture","Bookcases","Hon 4-Shelf Metal Bookcases","4462.23","440.72","44","0.04","100.98","26.22","0.0988"
"176","1154","2012-02-14","2012-02-16","2012","2","2012-02","Nunavut","Nunavut","Home Office","Furniture","Tables","Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table","663.78","-481.04","11","0.25","71.37","69","-0.7247"
"203","1344","2012-04-15","2012-04-22","2012","4","2012-04","Nunavut","Nunavut","Corporate","Technology","Telephones and Communication","g520","834.9","-11.68","15","0.06","65.99","5.26","-0.014"
"204","1344","2012-04-15","2012-04-19","2012","4","2012-04","Nunavut","Nunavut","Corporate","Technology","Telephones and Communication","LX 788","2480.92","313.58","18","0.01","155.99","8.99","0.1264"
"213","1412","2010-03-12","2010-03-14","2010","3","2010-03","Nunavut","Nunavut","Consumer","Office Supplies","Labels","Avery 52","59.03","26.92","13","0.1","3.69","0.5","0.456"
"214","1412","2010-03-12","2010-03-14","2010","3","2010-03","Nunavut","Nunavut","Consumer","Office Supplies","Rubber Bands","Plymouth Boxed Rubber Bands by Plymouth","97.48","-5.77","21","0.05","4.71","0.7","-0.0592"
"229","1539","2011-03-09","2011-03-11","2011","3","2011-03","Nunavut","Nunavut","Corporate","Office Supplies","Binders and Binder Accessories","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","511.83","-172.88","33","0.1","15.99","13.18","-0.3378"
"230","1539","2011-03-09","2011-03-14","2011","3","2011-03","Nunavut","Nunavut","Corporate","Technology","Computer Peripherals","Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack","184.99","-144.55","38","0.05","4.89","4.93","-0.7814"
"231","1540","2012-08-04","2012-08-06","2012","8","2012-08","Nunavut","Nunavut","Home Office","Office Supplies","Pens & Art Supplies","Newell 335","80.9","5.76","30","0.09","2.88","0.7","0.0712"
"249","1702","2011-05-06","2011-05-07","2011","5","2011-05","Nunavut","Nunavut","Home Office","Office Supplies","Pens & Art Supplies","SANFORD Liquid Accent� Tank-Style Highlighters","67.24","4.9","23","0.06","2.84","0.93","0.0729"
"250","1761","2010-12-23","2010-12-25","2010","12","2010-12","Nunavut","Nunavut","Corporate","Technology","Copiers and Fax","Canon PC940 Copier","12028.23","-547.61","25","0.01","449.99","49","-0.0455"
"256","1792","2010-11-08","2010-11-13","2010","11","2010-11","Nunavut","Nunavut","Consumer","Office Supplies","Storage & Organization","Tenex Personal Project File with Scoop Front Design, Black","370.48","-5.45","28","0.04","13.48","4.51","-0.0147"
"330","2275","2012-10-21","2012-10-22","2012","10","2012-10","Nunavut","Nunavut","Small Business","Office Supplies","Pens & Art Supplies","Col-Erase� Pencils with Erasers","278","41.67","49","0.08","6.08","1.17","0.1499"
"331","2277","2011-01-01","2011-01-02","2011","1","2011-01","Nunavut","Nunavut","Home Office","Technology","Computer Peripherals","Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack","66.54","-46.03","10","0.01","5.98","4.38","-0.6918"
"332","2277","2011-01-01","2011-01-03","2011","1","2011-01","Nunavut","Nunavut","Home Office","Office Supplies","Paper","White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11","845.32","33.67","21","0.06","40.99","19.99","0.0398"
"362","2532","2011-10-10","2011-10-11","2011","10","2011-10","Nunavut","Nunavut","Corporate","Office Supplies","Labels","Self-Adhesive Address Labels for Typewriters by Universal","282.07","140.01","39","0.03","7.31","0.49","0.4964"
"363","2532","2011-10-10","2011-10-11","2011","10","2011-10","Nunavut","Nunavut","Corporate","Technology","Telephones and Communication","Accessory37","426.04","-78.96","24","0.01","20.99","2.5","-0.1853"
"381","2631","2010-09-23","2010-09-25","2010","9","2010-09","Nunavut","Nunavut","Corporate","Technology","Computer Peripherals","Fuji 5.2GB DVD-RAM","1078.49","252.66","27","0.08","40.96","1.99","0.2343"
"406","2757","2011-07-19","2011-07-19","2011","7","2011-07","Nunavut","Nunavut","Corporate","Furniture","Chairs & Chairmats","Bevis Steel Folding Chairs","3554.46","-1766.01","39","0.07","95.95","74.35","-0.4968"
"413","2791","2009-10-09","2009-10-09","2009","10","2009-10","Nunavut","Nunavut","Corporate","Office Supplies","Binders and Binder Accessories","Avery Binder Labels","191.67","-236.27","47","0","3.89","7.01","-1.2327"
"414","2791","2009-10-09","2009-10-11","2009","10","2009-10","Nunavut","Nunavut","Corporate","Furniture","Chairs & Chairmats","Hon Every-Day� Chair Series Swivel Task Chairs","5586.33","80.44","49","0.09","120.98","30","0.0144"
"415","2791","2009-10-09","2009-10-10","2009","10","2009-10","Nunavut","Nunavut","Corporate","Office Supplies","Paper","IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case","507.64","118.94","18","0.1","30.98","5.76","0.2343"
"440","2976","2010-12-09","2010-12-11","2010","12","2010-12","Nunavut","Nunavut","Consumer","Furniture","Chairs & Chairmats","Global Troy� Executive Leather Low-Back Tilter","14223.82","3424.22","30","0.09","500.98","26","0.2407"
"471","3232","2012-10-08","2012-10-10","2012","10","2012-10","Nunavut","Nunavut","Small Business","Office Supplies","Binders and Binder Accessories","XtraLife� ClearVue� Slant-D� Ring Binders by Cardinal","42.66","-11.83","5","0.06","7.84","4.71","-0.2773"
"513","3524","2012-05-02","2012-05-03","2012","5","2012-05","Nunavut","Nunavut","Small Business","Office Supplies","Paper","Computer Printout Paper with Letter-Trim Perforations","427.32","52.35","21","0","18.97","9.03","0.1225"
"577","3908","2010-03-08","2010-03-08","2010","3","2010-03","Nunavut","Nunavut","Corporate","Technology","Telephones and Communication","6160","820.28","-180.2","8","0","115.99","2.5","-0.2197"
"606","4132","2011-05-28","2011-05-30","2011","5","2011-05","Nunavut","Nunavut","Corporate","Office Supplies","Labels","Avery 49","14.76","1.32","5","0.01","2.88","0.5","0.0894"
"656","4612","2010-09-19","2010-09-21","2010","9","2010-09","Nunavut","Nunavut","Corporate","Office Supplies","Appliances","Hoover Portapower� Portable Vacuum","89.55","-375.64","9","0.06","4.48","49","-4.1948"
"669","4676","2011-08-31","2011-09-01","2011","8","2011-08","Nunavut","Nunavut","Home Office","Technology","Telephones and Communication","Timeport L7089","1210.05","-104.25","11","0.04","125.99","7.69","-0.0862"
"670","4676","2011-08-31","2011-09-02","2011","8","2011-08","Nunavut","Nunavut","Home Office","Office Supplies","Labels","Avery 510","187.83","85.96","50","0.03","3.75","0.5","0.4576"
"671","4676","2011-08-31","2011-09-02","2011","8","2011-08","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Xerox 1881","49.59","-8.38","3","0.07","12.28","6.47","-0.169"
"672","4676","2011-08-31","2011-09-01","2011","8","2011-08","Nunavut","Nunavut","Home Office","Technology","Telephones and Communication","LX 788","4253.01","1115.69","30","0.01","155.99","8.99","0.2623"
"734","5284","2011-07-08","2011-07-10","2011","7","2011-07","Nunavut","Nunavut","Home Office","Office Supplies","Binders and Binder Accessories","Cardinal Slant-D� Ring Binder, Heavy Gauge Vinyl","59.38","-3.05","7","0.1","8.69","2.99","-0.0514"
"735","5316","2009-01-30","2009-02-01","2009","1","2009-01","Nunavut","Nunavut","Corporate","Technology","Computer Peripherals","Memorex 4.7GB DVD-RAM, 3/Pack","1285.37","514.07","42","0.1","31.78","1.99","0.3999"
"755","5409","2012-01-08","2012-01-13","2012","1","2012-01","Nunavut","Nunavut","Corporate","Office Supplies","Paper","Unpadded Memo Slips","48.91","-7.04","11","0.01","3.98","2.97","-0.1439"
"769","5506","2010-11-07","2010-11-08","2010","11","2010-11","Nunavut","Nunavut","Corporate","Office Supplies","Paper","Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages","129.62","4.41","22","0.05","5.88","3.04","0.034"
"782","5569","2010-04-29","2010-05-01","2010","4","2010-04","Nunavut","Nunavut","Corporate","Furniture","Office Furnishings","Eldon Expressions� Desk Accessory, Wood Pencil Holder, Oak","118.97","-0.06","12","0.09","9.65","6.22","-0.0005"
"786","5607","2011-12-31","2012-01-03","2011","12","2011-12","Nunavut","Nunavut","Home Office","Technology","Telephones and Communication","Bell Sonecor JB700 Caller ID","61.87","-50.33","8","0","7.99","5.03","-0.8135"
"817","5894","2009-08-12","2009-08-13","2009","8","2009-08","Nunavut","Nunavut","Corporate","Office Supplies","Binders and Binder Accessories","Avery Arch Ring Binders","384.33","87.68","7","0.1","58.1","1.49","0.2281"
"818","5894","2009-08-12","2009-08-15","2009","8","2009-08","Nunavut","Nunavut","Corporate","Office Supplies","Appliances","APC 7 Outlet Network SurgeArrest Surge Protector","239.03","-68.22","3","0.01","80.48","4.5","-0.2854"
"821","5925","2011-11-12","2011-11-19","2011","11","2011-11","Nunavut","Nunavut","Home Office","Furniture","Office Furnishings","Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting","3922.42","-354.9","44","0.08","92.23","39.61","-0.0905"
"822","5925","2011-11-12","2011-11-19","2011","11","2011-11","Nunavut","Nunavut","Home Office","Technology","Telephones and Communication","Accessory4","1733.36","-267.01","25","0.07","85.99","0.99","-0.154"
"839","6016","2012-01-20","2012-01-20","2012","1","2012-01","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Personal Creations� Ink Jet Cards and Labels","208.28","3.63","19","0.07","11.48","5.43","0.0174"
"853","6116","2009-03-20","2009-03-22","2009","3","2009-03","Nunavut","Nunavut","Corporate","Office Supplies","Scissors, Rulers and Trimmers","High Speed Automatic Electric Letter Opener","9620.82","-1759.58","6","0.04","1637.53","24.49","-0.1829"
"863","6182","2012-07-21","2012-07-28","2012","7","2012-07","Nunavut","Nunavut","Corporate","Office Supplies","Paper","Xerox 1966","255.48","-116.79","40","0.04","6.48","6.65","-0.4571"
"864","6182","2012-07-21","2012-07-25","2012","7","2012-07","Nunavut","Nunavut","Corporate","Office Supplies","Paper","Xerox 213","130.32","-67.28","18","0.04","6.48","7.86","-0.5163"
"911","6535","2012-06-12","2012-06-15","2012","6","2012-06","Nunavut","Nunavut","Corporate","Office Supplies","Pens & Art Supplies","Boston Electric Pencil Sharpener, Model 1818, Charcoal Black","312.36","-19.33","11","0.07","28.15","8.99","-0.0619"
"950","6884","2009-01-15","2009-01-20","2009","1","2009-01","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright)","217","-61.21","41","0.01","4.98","4.75","-0.2821"
"951","6884","2009-01-15","2009-01-20","2009","1","2009-01","Nunavut","Nunavut","Home Office","Office Supplies","Paper","Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""","296.13","119.09","47","0.04","6.35","1.02","0.4022"
"956","6916","2010-06-04","2010-06-08","2010","6","2010-06","Nunavut","Nunavut","Consumer","Office Supplies","Storage & Organization","Crate-A-Files�","436.17","-141.27","40","0.08","10.9","7.46","-0.3239"
"963","6980","2010-02-18","2010-02-19","2010","2","2010-02","Nunavut","Nunavut","Consumer","Office Supplies","Binders and Binder Accessories","Angle-D Binders with Locking Rings, Label Holders","136.29","-77.28","18","0.05","7.3","7.72","-0.567"
"964","6982","2011-11-16","2011-11-18","2011","11","2011-11","Nunavut","Nunavut","Corporate","Technology","Computer Peripherals","80 Minute CD-R Spindle, 100/Pack - Staples","1311.25","407.44","32","0","39.48","1.99","0.3107"
"965","6982","2011-11-16","2011-11-18","2011","11","2011-11","Nunavut","Nunavut","Corporate","Furniture","Bookcases","Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled","544.41","-338.27","5","0.09","100.98","57.38","-0.6214"
"966","6982","2011-11-16","2011-11-18","2011","11","2011-11","Nunavut","Nunavut","Corporate","Furniture","Office Furnishings","12-1/2 Diameter Round Wall Clock","844.09","52.56","41","0.04","19.98","10.49","0.0623"
"988","7110","2011-08-07","2011-08-11","2011","8","2011-08","Nunavut","Nunavut","Corporate","Furniture","Chairs & Chairmats","SAFCO Arco Folding Chair","6396.2","1902.24","22","0.02","276.2","24.49","0.2974"
"1017","7430","2010-06-08","2010-06-09","2010","6","2010-06","Nunavut","Nunavut","Corporate","Office Supplies","Envelopes","#10 White Business Envelopes,4 1/8 x 9 1/2","751.77","353.2","50","0.05","15.67","1.39","0.4698"
"1073","7906","2009-10-17","2009-10-17","2009","10","2009-10","Nunavut","Nunavut","Consumer","Office Supplies","Appliances","3M Office Air Cleaner","1003.06","271.78","37","0.03","25.98","5.37","0.271"
"1154","8391","2011-08-28","2011-08-29","2011","8","2011-08","Nunavut","Nunavut","Corporate","Furniture","Chairs & Chairmats","Global Leather and Oak Executive Chair, Black","1266.72","-268.36","4","0.04","300.98","64.73","-0.2119"
"1156","8419","2011-09-29","2011-10-01","2011","9","2011-09","Nunavut","Nunavut","Small Business","Office Supplies","Paper","Xerox 1936","368.04","70.39","19","0.07","19.98","5.97","0.1913"
"1157","8419","2011-09-29","2011-09-30","2011","9","2011-09","Nunavut","Nunavut","Small Business","Office Supplies","Paper","Xerox 214","152.6","-86.62","24","0.1","6.48","7.03","-0.5676"
"1205","8833","2012-05-04","2012-05-08","2012","5","2012-05","Nunavut","Nunavut","Small Business","Office Supplies","Storage & Organization","Carina Double Wide Media Storage Towers in Natural & Black","3338.98","-846.73","40","0","80.98","35","-0.2536"
"1226","8995","2011-05-17","2011-05-18","2011","5","2011-05","Nunavut","Nunavut","Consumer","Office Supplies","Binders and Binder Accessories","Staples� General Use 3-Ring Binders","24.16","8.05","5","0.08","1.88","1.49","0.3332"
"1227","8995","2011-05-17","2011-05-18","2011","5","2011-05","Northwest Territories","Northwest Territories","Consumer","Office Supplies","Paper","Xerox 1904","270.84","-78.02","41","0.1","6.48","5.86","-0.2881"
"1228","8995","2011-05-17","2011-05-18","2011","5","2011-05","Northwest Territories","Northwest Territories","Consumer","Furniture","Office Furnishings","Luxo Professional Combination Clamp-On Lamps","3389.93","737.94","35","0.08","102.3","21.26","0.2177"
"1229","8995","2011-05-17","2011-05-18","2011","5","2011-05","Northwest Territories","Northwest Territories","Consumer","Office Supplies","Paper","Xerox 217","266.36","-191.28","42","0.07","6.48","8.19","-0.7181"
"1230","8995","2011-05-17","2011-05-19","2011","5","2011-05","Northwest Territories","Northwest Territories","Consumer","Office Supplies","Rubber Bands","Revere Boxed Rubber Bands by Revere","89.41","-21.49","46","0.01","1.89","0.76","-0.2404"
"1258","9126","2009-11-17","2009-11-18","2009","11","2009-11","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Appliances","Acco Smartsocket� Table Surge Protector, 6 Color-Coded Adapter Outlets","2799.7","884.08","47","0.04","62.05","3.99","0.3158"
"1259","9127","2011-10-10","2011-10-12","2011","10","2011-10","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Storage & Organization","Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units","2039.56","-329.49","7","0.04","279.48","35","-0.1615"
"1299","9509","2012-10-07","2012-10-08","2012","10","2012-10","Northwest Territories","Northwest Territories","Home Office","Furniture","Chairs & Chairmats","Hon 4070 Series Pagoda� Round Back Stacking Chairs","12175.82","2825.15","36","0.02","320.98","58.95","0.232"
"1300","9509","2012-10-07","2012-10-08","2012","10","2012-10","Northwest Territories","Northwest Territories","Home Office","Office Supplies","Paper","Xerox 1887","101.21","2.13","5","0.1","18.97","5.21","0.021"
"1301","9509","2012-10-07","2012-10-07","2012","10","2012-10","Northwest Territories","Northwest Territories","Home Office","Office Supplies","Paper","Xerox 1891","1585.64","707.15","32","0.02","48.91","5.81","0.446"
"1337","9763","2011-08-13","2011-08-16","2011","8","2011-08","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Labels","Avery 506","176.26","75.13","44","0.07","4.13","0.5","0.4262"
"1370","9927","2011-08-16","2011-08-17","2011","8","2011-08","Northwest Territories","Northwest Territories","Corporate","Furniture","Bookcases","Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order","4655.07","-270.63","32","0","140.98","53.48","-0.0581"
"1371","9927","2011-08-16","2011-08-17","2011","8","2011-08","Northwest Territories","Northwest Territories","Corporate","Furniture","Chairs & Chairmats","Lifetime Advantage� Folding Chairs, 4/Carton","10087.6","3387.35","44","0.01","218.08","18.06","0.3358"
"1372","9927","2011-08-16","2011-08-17","2011","8","2011-08","Northwest Territories","Northwest Territories","Corporate","Technology","Computer Peripherals","Microsoft Natural Multimedia Keyboard","1608.08","-82.16","34","0.09","50.98","6.5","-0.0511"
"1380","10022","2009-03-04","2009-03-04","2009","3","2009-03","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Paper","Staples Wirebound Steno Books, 6"" x 9"", 12/Pack","12.18","-3.88","1","0.06","10.14","2.27","-0.3186"
"1445","10437","2009-08-18","2009-08-20","2009","8","2009-08","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Binders and Binder Accessories","GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""","820.52","-191.22","50","0.01","15.99","13.18","-0.233"
"1457","10499","2010-11-16","2010-11-17","2010","11","2010-11","Northwest Territories","Northwest Territories","Corporate","Furniture","Tables","Bevis Boat-Shaped Conference Table","6250.94","31.21","29","0.01","262.11","62.74","0.005"
"1462","10535","2011-05-27","2011-05-29","2011","5","2011-05","Northwest Territories","Northwest Territories","Corporate","Furniture","Office Furnishings","Linden� 12"" Wall Clock With Oak Frame","854.88","-44.14","25","0.09","33.98","19.99","-0.0516"
"1463","10535","2011-05-27","2011-06-03","2011","5","2011-05","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Pens & Art Supplies","Newell 326","80.27","-0.79","46","0.09","1.76","0.7","-0.0098"
"1495","10789","2010-08-23","2010-08-24","2010","8","2010-08","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Pens & Art Supplies","Prismacolor Color Pencil Set","308.54","76.42","15","0","19.84","4.1","0.2477"
"1496","10791","2011-08-19","2011-08-21","2011","8","2011-08","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Paper","Xerox Blank Computer Paper","400.57","93.36","20","0.05","19.98","5.77","0.2331"
"1513","10945","2012-01-03","2012-01-05","2012","1","2012-01","Northwest Territories","Northwest Territories","Consumer","Technology","Telephones and Communication","600 Series Flip","1170.03","4.22","14","0.04","95.99","8.99","0.0036"
"1544","11137","2012-11-29","2012-11-30","2012","11","2012-11","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Storage & Organization","Fellowes Recycled Storage Drawers","5188.86","395.12","48","0.1","111.03","8.64","0.0761"
"1551","11202","2012-03-17","2012-03-18","2012","3","2012-03","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Binders and Binder Accessories","Satellite Sectional Post Binders","339.81","79.59","8","0.05","43.41","2.99","0.2342"
"1589","11456","2010-04-12","2010-04-19","2010","4","2010-04","Northwest Territories","Northwest Territories","Corporate","Furniture","Office Furnishings","Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting","1519.9","399.37","15","0.09","105.34","24.49","0.2628"
"1590","11460","2010-08-24","2010-08-26","2010","8","2010-08","Northwest Territories","Northwest Territories","Home Office","Office Supplies","Labels","Avery 487","102.24","37.79","30","0.09","3.69","0.5","0.3696"
"1594","11495","2011-07-04","2011-07-05","2011","7","2011-07","Northwest Territories","Northwest Territories","Corporate","Furniture","Tables","Bevis Round Conference Table Top & Single Column Base","965.69","-144.2","6","0","146.34","43.75","-0.1493"
"1654","11911","2010-11-10","2010-11-12","2010","11","2010-11","Northwest Territories","Northwest Territories","Consumer","Office Supplies","Binders and Binder Accessories","GBC Twin Loop� Wire Binding Elements, 9/16"" Spine, Black","397.84","-14.75","25","0","15.22","9.73","-0.0371"
"1655","11941","2010-06-24","2010-06-25","2010","6","2010-06","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Storage & Organization","Hanging Personal Folder File","73.07","-41.01","4","0.08","15.7","11.25","-0.5612"
"1656","11941","2010-06-24","2010-06-25","2010","6","2010-06","Northwest Territories","Northwest Territories","Corporate","Furniture","Tables","Bevis Round Conference Table Top, X-Base","4679.1","111.52","26","0.05","179.29","29.21","0.0238"
"1675","12096","2012-09-19","2012-09-19","2012","9","2012-09","Northwest Territories","Northwest Territories","Home Office","Technology","Telephones and Communication","5125","8009.59","2332.4","46","0.02","200.99","8.08","0.2912"
"1676","12096","2012-09-19","2012-09-21","2012","9","2012-09","Northwest Territories","Northwest Territories","Home Office","Furniture","Office Furnishings","Electrix Halogen Magnifier Lamp","4689.66","2176.19","23","0.01","194.3","11.54","0.464"
"1710","12289","2011-12-24","2011-12-28","2011","12","2011-12","Northwest Territories","Northwest Territories","Corporate","Technology","Office Machines","Canon BP1200DH 12-Digit Bubble Jet Printing Calculator","3019.41","1269.05","25","0.04","120.97","7.11","0.4203"
"1718","12352","2012-03-23","2012-03-24","2012","3","2012-03","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Binders and Binder Accessories","Fellowes Black Plastic Comb Bindings","36.86","-32.82","5","0.07","5.81","8.49","-0.8904"
"1727","12419","2011-10-15","2011-10-17","2011","10","2011-10","Northwest Territories","Northwest Territories","Corporate","Technology","Office Machines","Polycom ViewStation� Adapter H323 Videoconferencing Unit","22079.47","5322.14","12","0.06","1938.02","13.99","0.241"
"1745","12485","2010-08-07","2010-08-08","2010","8","2010-08","Northwest Territories","Northwest Territories","Home Office","Furniture","Chairs & Chairmats","Hon GuestStacker Chair","5407.31","1068.48","24","0.04","226.67","28.16","0.1976"
"1751","12544","2009-03-03","2009-03-10","2009","3","2009-03","Northwest Territories","Northwest Territories","Corporate","Furniture","Office Furnishings","Eldon� Wave Desk Accessories","74.3","-129.01","34","0.08","2.08","5.33","-1.7363"
"1770","12704","2010-02-09","2010-02-09","2010","2","2010-02","Northwest Territories","Northwest Territories","Small Business","Technology","Copiers and Fax","Sharp AL-1530CS Digital Copier","21506.77","1260.51","44","0.06","499.99","24.49","0.0586"
"1771","12704","2010-02-09","2010-02-11","2010","2","2010-02","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Storage & Organization","Tennsco Lockers, Gray","669.02","-1274.02","28","0.02","20.98","53.03","-1.9043"
"1781","12771","2009-01-17","2009-01-17","2009","1","2009-01","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Labels","Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White","1143.49","-193.44","40","0.08","30.53","19.99","-0.1692"
"1782","12771","2009-01-17","2009-01-19","2009","1","2009-01","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Pens & Art Supplies","Newell 323","78.08","-43.1","46","0.01","1.68","1.57","-0.552"
"1806","12929","2010-08-30","2010-08-31","2010","8","2010-08","Northwest Territories","Northwest Territories","Corporate","Furniture","Chairs & Chairmats","Global Enterprise Series Seating High-Back Swivel/Tilt Chairs","5297.47","-158.93","19","0.02","270.98","50","-0.03"
"1807","12929","2010-08-30","2010-08-31","2010","8","2010-08","Northwest Territories","Northwest Territories","Corporate","Office Supplies","Paper","Spiral Phone Message Books with Labels by Adams","95.3","29.68","20","0","4.48","1.22","0.3114"
"1842","13280","2009-09-11","2009-09-12","2009","9","2009-09","Northwest Territories","Northwest Territories","Small Business","Office Supplies","Storage & Organization","Crate-A-Files�","460.68","-116.76","40","0.01","10.9","7.46","-0.2535"
"1843","13280","2009-09-11","2009-09-12","2009","9","2009-09","Northwest Territories","Northwest Territories","Small Business","Technology","Telephones and Communication","Bell Sonecor JB700 Caller ID","318.76","-160.95","49","0.1","7.99","5.03","-0.5049"
